row_id,source_dataset,npdes_id,facility_name,city,state,county,permit_status,permit_type,facility_type,total_design_flow,current_snc_status,current_violation,permit_feature_number,state_water_body_name,tribal_spatial_flag,derived_tribes,latitude,longitude,has_tribal_context,has_current_violation
584,EPA ECHO NPDES outfalls/permitted features,AK0062282,KODIAK FISHERIES RESEARCH CENTER,KODIAK,AK,KODIAK ISLAND,Effective,NPDES Individual Permit,County Government,NA,NA,No,001,NA,N,"Sun'aq Tribe of Kodiak - 1 mile(s), Tangirnaq Native Village - 9 mile(s), Native Village of Ouzinkie - 11 mile(s), Native Village of Port Lions - 19 mile(s), Native Village of Afognak - 22 mile(s)",57.782219000000005,-152.39298100000002,TRUE,FALSE
585,EPA ECHO NPDES outfalls/permitted features,AK0036994,CORDOVA BULK FACILITY-SHORESIDE PETROLEUM INC,CORDOVA,AK,VALDEZ CORDOVA,Admin Continued,NPDES Individual Permit,Corporation,NA,NA,No,001,Orca Inlet,N,Native Village of Eyak (Cordova) - 3 mile(s),60.5569,-145.754,TRUE,FALSE
586,EPA ECHO NPDES outfalls/permitted features,AK0036994,CORDOVA BULK FACILITY-SHORESIDE PETROLEUM INC,CORDOVA,AK,VALDEZ CORDOVA,Admin Continued,NPDES Individual Permit,Corporation,NA,NA,No,002,Orca Inlet,N,Native Village of Eyak (Cordova) - 3 mile(s),60.5547,-145.755,TRUE,FALSE
587,EPA ECHO NPDES outfalls/permitted features,AKG002120,EXDW GREENSTREET BUSINESS PARK DEWATERING,WASILLA,AK,MATANUSKA-SUSITNA,Effective,General Permit Covered Facility,Privately Owned Facility,NA,NA,Yes,001,Cottonwood Creek,N,"Eklutna Native Village - 9 mile(s), Knik Tribe - 15 mile(s)",61.58495,-149.367524,TRUE,TRUE
588,EPA ECHO NPDES outfalls/permitted features,AKG332002,"NABORS ALASKA DRILLING INC, 1ES FACILITY STORMWATER",DEADHORSE,AK,NORTH SLOPE,Effective,General Permit Covered Facility,Corporation,NA,NA,No,006,Tundra Wetlands,NA,NA,70.22879999999999,-148.38800000000003,FALSE,FALSE
589,EPA ECHO NPDES outfalls/permitted features,AKG572069,HOLLAND AMERICA DENALI LODGE WWTF,DENALI PARK,AK,DENALI,Effective,General Permit Covered Facility,Corporation,NA,NA,Yes,001,Nenana River,N,Native Village of Cantwell - 25 mile(s),63.745000000000005,-148.906,TRUE,TRUE
590,EPA ECHO NPDES outfalls/permitted features,AKG003008,AKUTAN GEOTHERMAL,AKUTAN,AK,ALEUTIANS EAST,Expired,General Permit Covered Facility,Municipality,NA,NA,No,001,Land,N,Native Village of Akutan - 4 mile(s),54.1503,-165.863,TRUE,FALSE
591,EPA ECHO NPDES outfalls/permitted features,AKG370227,TAIGA MINING CLEAR CREEK MINE SITE,HUGHES,AK,YUKON-KOYUKUK (CA),Admin Continued,General Permit Covered Facility,Corporation,NA,NA,No,001,Clear Creek,NA,NA,66.23085900000001,-155.64824600000003,FALSE,FALSE
592,EPA ECHO NPDES outfalls/permitted features,AKR06AB42,HAINES GRAVEL ROCK SOURCE,HAINES,AK,HAINES,Expired,General Permit Covered Facility,Corporation,NA,NA,Yes,002,Chilkat River,N,"Chilkoot Indian Association (Haines) - 4 mile(s), Chilkat Indian Village (Klukwan) - 16 mile(s), Skagway Village - 17 mile(s)",59.252900000000004,-135.54299999999998,TRUE,TRUE
593,EPA ECHO NPDES outfalls/permitted features,AKR06AB42,HAINES GRAVEL ROCK SOURCE,HAINES,AK,HAINES,Expired,General Permit Covered Facility,Corporation,NA,NA,Yes,001,Chilkat River,N,"Chilkoot Indian Association (Haines) - 4 mile(s), Chilkat Indian Village (Klukwan) - 16 mile(s), Skagway Village - 17 mile(s)",59.254819999999995,-135.5454,TRUE,TRUE
594,EPA ECHO NPDES outfalls/permitted features,AKR10H11U,RAW WATER TRANSMISSION LINE REPLACEMENT PROJECT  BRIDGE CREEK RESERVOIR TO SKYLI,HOMER,AK,Kenai Peninsula,Effective,General Permit Covered Facility,Municipal or Water District,NA,NA,No,001,Bridge Creek Reservoir,NA,NA,59.67748399999999,-151.54620690000002,FALSE,FALSE
595,EPA ECHO NPDES outfalls/permitted features,AKG523074,TRIDENT SEAFOODS NAKNEK NORTH PLANT,NAKNEK,AK,BRISTOL BAY,Admin Continued,General Permit Covered Facility,Corporation,NA,NA,No,002,Naknek River,N,"Naknek Native Village - 1 mile(s), South Naknek Village - 1 mile(s), King Salmon Tribe - 14 mile(s)",58.72730000000001,-157.008,TRUE,FALSE
